District,Sector,Top 1 Crop,Top 2 Crop,Top 3 Crop,Top 4 Crop,Top 5 Crop,,,,,
Gatsibo,Rugarama,Coffee,Tea,Avocado,Maize,Beans,,,,,
Gatsibo,Rwimbogo,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Gahini,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Kabare,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Kabarondo,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Mukarange,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Murama,Coffee,Tea,Watermelon,Maize,Beans,,,,,
Kayonza,Murundi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Ndego,Coffee,Avocado,Tea,Maize,Beans,,,,,
Kayonza,Nyamirama,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Rukara,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Ruramira,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kayonza,Rwinkwavu,Avocado,Coffee,Tea,Maize,Beans,,,,,
Kirehe,Gahara,Coffee,Avocado,Tea,Maize,Beans,,,,,
Kirehe,Gatore,Coffee,Avocado,Tea,Maize,Beans,,,,,
Kirehe,Kigarama,Coffee,Avocado,Tea,Maize,Beans,,,,,
Kirehe,Kigina,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kirehe,Kirehe,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kirehe,Mahama,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kirehe,Mpanga,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kirehe,Musaza,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kirehe,Mushikiri,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kirehe,Nasho,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kirehe,Nyamugari,Coffee,Tea,Avocado,Maize,Beans,,,,,
Kirehe,Nyarubuye,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Gashanda,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Jarama,Coffee,Avocado,Tea,Maize,Beans,,,,,
Ngoma,Karembo,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Kazo,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Kibungo,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Mugesera,Coffee,Avocado,Tea,Maize,Beans,,,,,
Ngoma,Murama,Coffee,Avocado,Tea,Maize,Beans,,,,,
Ngoma,Mutenderi,Coffee,Avocado,Tea,Maize,Beans,,,,,
Ngoma,Remera,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Rukira,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Rukumberi,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Rurenge,Coffee,Tea,Avocado,Maize,Beans,,,,,
Ngoma,Sake,Coffee,Avocado,Tea,Maize,Beans,,,,,
Ngoma,Zaza,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Gashora,Coffee,Tea,Avocado,Maize,Beans,,,,,
Bugesera,Juru,Coffee,Tea,Avocado,Maize,Beans,,,,,
Bugesera,Kamabuye,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Mareba,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Mayange,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Musenyi,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Mwogo,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Ngeruka,Coffee,Tea,Avocado,Maize,Beans,,,,,
Bugesera,Ntarama,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Nyamata,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Nyarugenge,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Rilima,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Ruhuha,Coffee,Avocado,Tea,Maize,Beans,,,,,
Bugesera,Rweru,Coffee,Tea,Avocado,Maize,Beans,,,,,
Bugesera,Shyara,Coffee,Tea,Avocado,Maize,Beans,,,,,
